"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.93558474046E+003, +5.71614229739E-002, +0.00000000000E+000
+1.93808630394E+003, +5.80630698587E-002, +0.00000000000E+000
+1.94058786742E+003, +5.87803294801E-002, +0.00000000000E+000
+1.94308943089E+003, +5.94451912951E-002, +0.00000000000E+000
+1.94559099437E+003, +6.03252067323E-002, +0.00000000000E+000
+1.94809255785E+003, +6.11177087858E-002, +0.00000000000E+000
+1.95059412133E+003, +6.17941632097E-002, +0.00000000000E+000
+1.95309568480E+003, +6.26998034472E-002, +0.00000000000E+000
+1.95559724828E+003, +6.35537690593E-002, +0.00000000000E+000
+1.95809881176E+003, +6.44206761635E-002, +0.00000000000E+000
+1.96060037523E+003, +6.53349165866E-002, +0.00000000000E+000
+1.96310193871E+003, +6.60873383041E-002, +0.00000000000E+000
+1.96560350219E+003, +6.70749248213E-002, +0.00000000000E+000
+1.96810506567E+003, +6.81155780244E-002, +0.00000000000E+000
+1.97060662914E+003, +6.89226329356E-002, +0.00000000000E+000
+1.97310819262E+003, +6.98920155715E-002, +0.00000000000E+000
+1.97560975610E+003, +7.08404084858E-002, +0.00000000000E+000
+1.97811131957E+003, +7.18264688179E-002, +0.00000000000E+000
+1.98061288305E+003, +7.28119415397E-002, +0.00000000000E+000
+1.98311444653E+003, +7.37277194085E-002, +0.00000000000E+000
+1.98561601001E+003, +7.47986524269E-002, +0.00000000000E+000
+1.98811757348E+003, +7.58864585310E-002, +0.00000000000E+000
+1.99061913696E+003, +7.68782341302E-002, +0.00000000000E+000
+1.99312070044E+003, +7.80368154548E-002, +0.00000000000E+000
+1.99562226391E+003, +7.90951112646E-002, +0.00000000000E+000
+1.99812382739E+003, +8.01469141399E-002, +0.00000000000E+000
+2.00062539087E+003, +8.13022374994E-002, +0.00000000000E+000
+2.00312695435E+003, +8.24969144096E-002, +0.00000000000E+000
+2.00562851782E+003, +8.36217284152E-002, +0.00000000000E+000
+2.00813008130E+003, +8.48395582850E-002, +0.00000000000E+000
+2.01063164478E+003, +8.61236231835E-002, +0.00000000000E+000
+2.01313320826E+003, +8.74406541051E-002, +0.00000000000E+000
+2.01563477173E+003, +8.87438863818E-002, +0.00000000000E+000
+2.01813633521E+003, +9.01874502521E-002, +0.00000000000E+000
+2.02063789869E+003, +9.16228388608E-002, +0.00000000000E+000
+2.02313946216E+003, +9.31315193824E-002, +0.00000000000E+000
+2.02564102564E+003, +9.46885719682E-002, +0.00000000000E+000
+2.02814258912E+003, +9.62379868287E-002, +0.00000000000E+000
+2.03064415260E+003, +9.78975971935E-002, +0.00000000000E+000
+2.03314571607E+003, +9.96104408436E-002, +0.00000000000E+000
+2.03564727955E+003, +1.01411863573E-001, +0.00000000000E+000
